nama_lokasi	url	tag_lokasi	total_review	total_rating	no_hp	scraped_time
PT VINFAST AUTOMOBILE INDONESIA PLANT	https://www.google.com/maps/place/PT+VINFAST+AUTOMOBILE+INDONESIA+PLANT/data=!4m7!3m6!1s0x2e693b000d0c790f:0xd220a6df32997e4f!8m2!3d-6.5409822!4d107.8346119!16s%2Fg%2F11yj2wbtsx!19sChIJD3kMDQA7aS4RT36ZMt-mINI?authuser=0&hl=id&rclk=1	Produsen	53	4.7		14/08/2026 10:27:09
Vinfast PIK Pantai Indah Kapuk	https://www.google.com/maps/place/Vinfast+PIK+Pantai+Indah+Kapuk/data=!4m7!3m6!1s0x2e6a1d1363e778cf:0x86f3fcbe16fe1845!8m2!3d-6.0860982!4d106.7338286!16s%2Fg%2F11vrr9fw4z!19sChIJz3jnYxMdai4RRRj-Fr7884Y?authuser=0&hl=id&rclk=1	Dealer mobil	217	5.0	0812-1177-9391	14/08/2026 10:27:10
PT. VinFast Automobile Indonesia	https://www.google.com/maps/place/PT.+VinFast+Automobile+Indonesia/data=!4m7!3m6!1s0x2e693b004dadb08b:0xa3e81d2bcfd27f62!8m2!3d-6.5411538!4d107.8343467!16s%2Fg%2F11zdcqdtpp!19sChIJi7CtTQA7aS4RYn_Szysd6KM?authuser=0&hl=id&rclk=1	Produsen				14/08/2026 10:27:10
Vinfast mobil listrik showroom PIK	https://www.google.com/maps/place/Vinfast+mobil+listrik+showroom+PIK/data=!4m7!3m6!1s0x2e6a1d004509bfbb:0xbf57ab67c9719332!8m2!3d-6.0863032!4d106.7334879!16s%2Fg%2F11vsh_24bx!19sChIJu78JRQAdai4RMpNxyWerV78?authuser=0&hl=id&rclk=1	Ruang pamer	23	4.5		14/08/2026 10:27:10
VINFAST BANDUNG	https://www.google.com/maps/place/VINFAST+BANDUNG/data=!4m7!3m6!1s0x2e68e900246d49db:0xad1cd2c5f760bfad!8m2!3d-6.9381985!4d107.6133707!16s%2Fg%2F11lf26zh9z!19sChIJ20ltJADpaC4Rrb9g98XSHK0?authuser=0&hl=id&rclk=1	Dealer mobil	23	4.3	0877-4420-4404	14/08/2026 10:27:10
Vinfast Bandung Laswi	https://www.google.com/maps/place/Vinfast+Bandung+Laswi/data=!4m7!3m6!1s0x2e68e7043a8108fd:0x83ebd0e6912c89d0!8m2!3d-6.9221151!4d107.6299858!16s%2Fg%2F11xw23q_yy!19sChIJ_QiBOgTnaC4R0IkskebQ64M?authuser=0&hl=id&rclk=1	Dealer mobil	30	4.9	0821-1679-2181	14/08/2026 10:27:10
PT. VINFAST TRADING INDONESIA	https://www.google.com/maps/place/PT.+VINFAST+TRADING+INDONESIA/data=!4m7!3m6!1s0x2e69f30057e10c61:0xc4185a1204bf36d9!8m2!3d-6.2213068!4d106.8194475!16s%2Fg%2F11nr0ytrtg!19sChIJYQzhVwDzaS4R2Ta_BBJaGMQ?authuser=0&hl=id&rclk=1	Kantor Perusahaan				14/08/2026 10:27:10
Công ty vinfast	https://www.google.com/maps/place/C%C3%B4ng+ty+vinfast/data=!4m7!3m6!1s0x2e693b00712639f5:0xdcbc591ba34ab6e5!8m2!3d-6.5393774!4d107.83485!16s%2Fg%2F11ys9p7g8t!19sChIJ9TkmcQA7aS4R5bZKoxtZvNw?authuser=0&hl=id&rclk=1	Gudang	3	5.0		14/08/2026 10:27:10
Dealer vinfast bandung	https://www.google.com/maps/place/Dealer+vinfast+bandung/data=!4m7!3m6!1s0x2e68e700149379e7:0xb74a9cadaa1d534b!8m2!3d-6.8775309!4d107.597648!16s%2Fg%2F11x8hfzc55!19sChIJ53mTFADnaC4RS1Mdqq2cSrc?authuser=0&hl=id&rclk=1	Dealer mobil	14	4.9	0852-3185-83536	14/08/2026 10:27:11
VinFast Yogyakarta	https://www.google.com/maps/place/VinFast+Yogyakarta/data=!4m7!3m6!1s0x2e7a59007957a57b:0x4ca19d37f36056ae!8m2!3d-7.7789116!4d110.4560516!16s%2Fg%2F11y7d2tdpl!19sChIJe6VXeQBZei4RrlZg8zedoUw?authuser=0&hl=id&rclk=1	Dealer mobil	21	4.4	0896-7850-5150	14/08/2026 10:27:11
Vinfast Radio Dalam	https://www.google.com/maps/place/Vinfast+Radio+Dalam/data=!4m7!3m6!1s0x2e69f1e1d9588a4d:0x94543820ba3a7981!8m2!3d-6.2612713!4d106.788711!16s%2Fg%2F11vyrh111_!19sChIJTYpY2eHxaS4RgXk6uiA4VJQ?authuser=0&hl=id&rclk=1	Dealer mobil	28	4.0	0821-7803-0303	14/08/2026 10:27:11
Vinfast Soreang	https://www.google.com/maps/place/Vinfast+Soreang/data=!4m7!3m6!1s0x2e68ed0067320f11:0xb37ea502d1d7c614!8m2!3d-7.0261029!4d107.5257163!16s%2Fg%2F11wx43b38d!19sChIJEQ8yZwDtaC4RFMbX0QKlfrM?authuser=0&hl=id&rclk=1	Dealer mobil	3	5.0	0831-7689-6413	14/08/2026 10:27:11
VINFAST PURI INDAH	https://www.google.com/maps/place/VINFAST+PURI+INDAH/data=!4m7!3m6!1s0x2e69f7003e47063d:0x784fdf3f7631cf73!8m2!3d-6.189712!4d106.735411!16s%2Fg%2F11yrxx_56h!19sChIJPQZHPgD3aS4Rc88xdj_fT3g?authuser=0&hl=id&rclk=1	Toko perawatan otomotif	6	3.0	0851-7318-7381	14/08/2026 10:27:11
Vinfast Semarang	https://www.google.com/maps/place/Vinfast+Semarang/data=!4m7!3m6!1s0x2e708d000764b6db:0x2b3d91a586d62f0a!8m2!3d-7.0090168!4d110.4350538!16s%2Fg%2F11wplg224t!19sChIJ27ZkBwCNcC4RCi_WhqWRPSs?authuser=0&hl=id&rclk=1	Dealer mobil	19	3.9	0812-3486-9553	14/08/2026 10:27:11
