name	review	date_posted	star	review_id	latitude	longitude	url	alamat	website	scraped_time
ANDRIYANA ARIFIN	Lahh ini gimana sihh vinfast sama Quality control nya, masa sasis sebelah kiri ga di Las, + mobil belok ke kiri terus padahal di sporing juga udahh, mau di benerin di dealer nya, ngomong belum ada alat nga, padahal tinggal di Las doang. Dahh Lah kapok Beli Vietnam ini, QULITASNYAN JELEK	2 bulan lalu	1 bintang	Ci9DQUlRQUNvZENodHljRjlvT2todGRrVnVZbWxhTTA1YWVqVTVjREo2TkZGdVdXYxAB	-6.540982	107.834607	https://www.google.com/maps/place/PT+VINFAST+AUTOMOBILE+INDONESIA+PLANT/data=!4m7!3m6!1s0x2e693b000d0c790f:0xd220a6df32997e4f!8m2!3d-6.5409822!4d107.8346119!16s%2Fg%2F11yj2wbtsx!19sChIJD3kMDQA7aS4RT36ZMt-mINI?authuser=0&hl=id&rclk=1	FR7V+2F, Wanasari, Kec. Cipunagara, Kabupaten Subang, Jawa Barat 41285		14/08/2026 10:43:58
Egii Setiawan	akses ke gudangnya sempit tapi area gudang sangat luass	5 bulan lalu	3 bintang	Ci9DQUlRQUNvZENodHljRjlvT2xGb1VEQldOMmRJVUhGdU1EWkpkVkpsWWpKU1pYYxAB	-6.540982	107.834607	https://www.google.com/maps/place/PT+VINFAST+AUTOMOBILE+INDONESIA+PLANT/data=!4m7!3m6!1s0x2e693b000d0c790f:0xd220a6df32997e4f!8m2!3d-6.5409822!4d107.8346119!16s%2Fg%2F11yj2wbtsx!19sChIJD3kMDQA7aS4RT36ZMt-mINI?authuser=0&hl=id&rclk=1	FR7V+2F, Wanasari, Kec. Cipunagara, Kabupaten Subang, Jawa Barat 41285		14/08/2026 10:43:58
ryan pentol	perijinan untuk akses keluar masuk proyek terlalu dipersulit. terlebih dari pihak manajemen yang terlalu sibuk dan tidak adanya perwakilan untuk mengurus surat perijinan yang semakin mempersulit pengurusan surat keluar masuk lokasi proyek	7 bulan lalu	1 bintang	Ci9DQUlRQUNvZENodHljRjlvT2tWQ1VrbE5XV2xGUVdweVdETjRZWFE1WkhkS0xYYxAB	-6.540982	107.834607	https://www.google.com/maps/place/PT+VINFAST+AUTOMOBILE+INDONESIA+PLANT/data=!4m7!3m6!1s0x2e693b000d0c790f:0xd220a6df32997e4f!8m2!3d-6.5409822!4d107.8346119!16s%2Fg%2F11yj2wbtsx!19sChIJD3kMDQA7aS4RT36ZMt-mINI?authuser=0&hl=id&rclk=1	FR7V+2F, Wanasari, Kec. Cipunagara, Kabupaten Subang, Jawa Barat 41285		14/08/2026 10:43:58
SUCIPTO	Kehadiran Pabrik Mobil Listrik merk Vinfast di Indonesia akan menjadi perusahaan ini maju dan berkembang pesat. Teknologi dan inovasi pada kendaraan roda 4 dan roda 2 yang disajikan sangat luar biasa. Harapan besar saya Vinfast selalu berada didepan...Bravo Vinfast 💪💪💪 …	8 bulan lalu	5 bintang	Ci9DQUlRQUNvZENodHljRjlvT205Uk5tSk9ObWd6VTFSYVRuZFJWV2czWTA1SWJGRRAB	-6.540982	107.834607	https://www.google.com/maps/place/PT+VINFAST+AUTOMOBILE+INDONESIA+PLANT/data=!4m7!3m6!1s0x2e693b000d0c790f:0xd220a6df32997e4f!8m2!3d-6.5409822!4d107.8346119!16s%2Fg%2F11yj2wbtsx!19sChIJD3kMDQA7aS4RT36ZMt-mINI?authuser=0&hl=id&rclk=1	FR7V+2F, Wanasari, Kec. Cipunagara, Kabupaten Subang, Jawa Barat 41285		14/08/2026 10:43:58
Babank Go	Info min katanya ada proyek pemagaran,.sayaau ambil urugannya	sebulan lalu	5 bintang	Ci9DQUlRQUNvZENodHljRjlvT21nNVkxQm1TazFpVEZObVRqSXphM3BoWTBaMFRYYxAB	-6.540982	107.834607	https://www.google.com/maps/place/PT+VINFAST+AUTOMOBILE+INDONESIA+PLANT/data=!4m7!3m6!1s0x2e693b000d0c790f:0xd220a6df32997e4f!8m2!3d-6.5409822!4d107.8346119!16s%2Fg%2F11yj2wbtsx!19sChIJD3kMDQA7aS4RT36ZMt-mINI?authuser=0&hl=id&rclk=1	FR7V+2F, Wanasari, Kec. Cipunagara, Kabupaten Subang, Jawa Barat 41285		14/08/2026 10:43:58
Tarjani Jani	Semoga perusahan ini makin sukses dan produknya di terima olah masyarakat Indonesia 🤲 …	4 bulan lalu	5 bintang	Ci9DQUlRQUNvZENodHljRjlvT2pKTmVsbGZhVEpzUTJSSFVtWTBabUpLY25wUlZWRRAB	-6.540982	107.834607	https://www.google.com/maps/place/PT+VINFAST+AUTOMOBILE+INDONESIA+PLANT/data=!4m7!3m6!1s0x2e693b000d0c790f:0xd220a6df32997e4f!8m2!3d-6.5409822!4d107.8346119!16s%2Fg%2F11yj2wbtsx!19sChIJD3kMDQA7aS4RT36ZMt-mINI?authuser=0&hl=id&rclk=1	FR7V+2F, Wanasari, Kec. Cipunagara, Kabupaten Subang, Jawa Barat 41285		14/08/2026 10:43:58
Rasnawi Awi	Ree schedule pupuk kujang	4 bulan lalu	5 bintang	Ci9DQUlRQUNvZENodHljRjlvT2tGcFIxa3paVGhTWm1KMGR6QnNhVmRSVWtvMGQxRRAB	-6.540982	107.834607	https://www.google.com/maps/place/PT+VINFAST+AUTOMOBILE+INDONESIA+PLANT/data=!4m7!3m6!1s0x2e693b000d0c790f:0xd220a6df32997e4f!8m2!3d-6.5409822!4d107.8346119!16s%2Fg%2F11yj2wbtsx!19sChIJD3kMDQA7aS4RT36ZMt-mINI?authuser=0&hl=id&rclk=1	FR7V+2F, Wanasari, Kec. Cipunagara, Kabupaten Subang, Jawa Barat 41285		14/08/2026 10:43:58
febriyanti sihombing	Perusahaan Mobil listrik ternama yang berkantor pusat di Vietnam, semoga bisa banyak di kenal oleh masyarakat 😇 …	8 bulan lalu	5 bintang	Ci9DQUlRQUNvZENodHljRjlvT2pOUGFrUXRhbkZZZW1sNVNUUTRUQzE1V0Zwd1pVRRAB	-6.540982	107.834607	https://www.google.com/maps/place/PT+VINFAST+AUTOMOBILE+INDONESIA+PLANT/data=!4m7!3m6!1s0x2e693b000d0c790f:0xd220a6df32997e4f!8m2!3d-6.5409822!4d107.8346119!16s%2Fg%2F11yj2wbtsx!19sChIJD3kMDQA7aS4RT36ZMt-mINI?authuser=0&hl=id&rclk=1	FR7V+2F, Wanasari, Kec. Cipunagara, Kabupaten Subang, Jawa Barat 41285		14/08/2026 10:43:58
Wisnu Saputra	Belum kepanggil aja udah ngeweb lama, pdhl ex Daihatsu. Semoga cepet kepanggil dan ada rejekinya disni	9 bulan lalu	5 bintang	Ci9DQUlRQUNvZENodHljRjlvT2xkeWRFNWFWekJWV0dkZlNYVk9XaTF0VWtwNFJXYxAB	-6.540982	107.834607	https://www.google.com/maps/place/PT+VINFAST+AUTOMOBILE+INDONESIA+PLANT/data=!4m7!3m6!1s0x2e693b000d0c790f:0xd220a6df32997e4f!8m2!3d-6.5409822!4d107.8346119!16s%2Fg%2F11yj2wbtsx!19sChIJD3kMDQA7aS4RT36ZMt-mINI?authuser=0&hl=id&rclk=1	FR7V+2F, Wanasari, Kec. Cipunagara, Kabupaten Subang, Jawa Barat 41285		14/08/2026 10:43:58
Lukman Hakim	Vinfast lokernya buka dmna yah?	3 bulan lalu	5 bintang	Ci9DQUlRQUNvZENodHljRjlvT20xUWJYUnhabXBsT1dKT04zTnlOMWRxVkc4M1ZWRRAB	-6.540982	107.834607	https://www.google.com/maps/place/PT+VINFAST+AUTOMOBILE+INDONESIA+PLANT/data=!4m7!3m6!1s0x2e693b000d0c790f:0xd220a6df32997e4f!8m2!3d-6.5409822!4d107.8346119!16s%2Fg%2F11yj2wbtsx!19sChIJD3kMDQA7aS4RT36ZMt-mINI?authuser=0&hl=id&rclk=1	FR7V+2F, Wanasari, Kec. Cipunagara, Kabupaten Subang, Jawa Barat 41285		14/08/2026 10:43:58
