review_id	review	created_at	sentiment_score	sentiment_label	relevansi	category	sub_category	reason	is_positive
Ci9DQUlRQUNvZENodHljRjlvT2todGRrVnVZbWxhTTA1YWVqVTVjREo2TkZGdVdXYxAB	Lahh ini gimana sihh vinfast sama Quality control nya, masa sasis sebelah kiri ga di Las, + mobil belok ke kiri terus padahal di sporing juga udahh, mau di benerin di dealer nya, ngomong belum ada alat nga, padahal tinggal di Las doang. Dahh Lah kapok Beli Vietnam ini, QULITASNYAN JELEK	2026-08-19 15:27:35	1	Sangat Negatif	True	Kualitas Produk & Performa	Masalah Teknis/Kerusakan	Ulasan mengeluhkan kualitas kontrol produk yang buruk, sasis tidak dilas, serta layanan purna jual dealer yang belum siap.	Negative
Ci9DQUlRQUNvZENodHljRjlvT2xGb1VEQldOMmRJVUhGdU1EWkpkVkpsWWpKU1pYYxAB	akses ke gudangnya sempit tapi area gudang sangat luass	2026-08-19 15:27:35	3	Netral	True	Harga & Bisnis Perusahaan	Perizinan & Keberadaan Pabrik/Perusahaan	Ulasan memberikan deskripsi objektif mengenai kondisi fisik akses dan luas area gudang pabrik.	Positive
Ci9DQUlRQUNvZENodHljRjlvT2tWQ1VrbE5XV2xGUVdweVdETjRZWFE1WkhkS0xYYxAB	perijinan untuk akses keluar masuk proyek terlalu dipersulit. terlebih dari pihak manajemen yang terlalu sibuk dan tidak adanya perwakilan untuk mengurus surat perijinan yang semakin mempersulit pengurusan surat keluar masuk lokasi proyek	2026-08-19 15:27:35	1	Sangat Negatif	True	Harga & Bisnis Perusahaan	Perizinan & Keberadaan Pabrik/Perusahaan	Mengeluhkan hambatan birokrasi dan manajemen terkait izin keluar masuk lokasi proyek pabrik.	Negative
Ci9DQUlRQUNvZENodHljRjlvT205Uk5tSk9ObWd6VTFSYVRuZFJWV2czWTA1SWJGRRAB	Kehadiran Pabrik Mobil Listrik merk Vinfast di Indonesia akan menjadi perusahaan ini maju dan berkembang pesat. Teknologi dan inovasi pada kendaraan roda 4 dan roda 2 yang disajikan sangat luar biasa. Harapan besar saya Vinfast selalu berada didepan...Bravo Vinfast 💪💪💪 …	2026-08-19 15:27:35	5	Sangat Positif	True	Harga & Bisnis Perusahaan	Perizinan & Keberadaan Pabrik/Perusahaan	Apresiasi dan antusiasme sangat tinggi terhadap kehadiran pabrik serta teknologi inovatif VinFast.	Positive
Ci9DQUlRQUNvZENodHljRjlvT21nNVkxQm1TazFpVEZObVRqSXphM3BoWTBaMFRYYxAB	Info min katanya ada proyek pemagaran,.sayaau ambil urugannya	2026-08-19 15:27:35	3	Netral	True	Harga & Bisnis Perusahaan	Perizinan & Keberadaan Pabrik/Perusahaan	Pertanyaan netral mengenai informasi proyek konstruksi pemagaran dan urugan pabrik.	Positive
Ci9DQUlRQUNvZENodHljRjlvT2pKTmVsbGZhVEpzUTJSSFVtWTBabUpLY25wUlZWRRAB	Semoga perusahan ini makin sukses dan produknya di terima olah masyarakat Indonesia 🤲 …	2026-08-19 15:27:35	5	Sangat Positif	True	Harga & Bisnis Perusahaan	Perizinan & Keberadaan Pabrik/Perusahaan	Doa dan harapan yang sangat positif bagi kesuksesan perusahaan dan produknya di Indonesia.	Positive
Ci9DQUlRQUNvZENodHljRjlvT2tGcFIxa3paVGhTWm1KMGR6QnNhVmRSVWtvMGQxRRAB	Ree schedule pupuk kujang	2026-08-19 15:27:35	0	Tidak Relevan	False	Non-Konteks & Spam	Komentar Acak / Spam	Komentar mengenai jadwal pupuk tidak memiliki relevansi dengan VinFast atau otomotif.	Irrelevant
Ci9DQUlRQUNvZENodHljRjlvT2pOUGFrUXRhbkZZZW1sNVNUUTRUQzE1V0Zwd1pVRRAB	Perusahaan Mobil listrik ternama yang berkantor pusat di Vietnam, semoga bisa banyak di kenal oleh masyarakat 😇 …	2026-08-19 15:27:35	4	Positif	True	Harga & Bisnis Perusahaan	Perizinan & Keberadaan Pabrik/Perusahaan	Tanggapan positif dan harapan agar brand VinFast semakin dikenal luas di Indonesia.	Positive
Ci9DQUlRQUNvZENodHljRjlvT2xkeWRFNWFWekJWV0dkZlNYVk9XaTF0VWtwNFJXYxAB	Belum kepanggil aja udah ngeweb lama, pdhl ex Daihatsu. Semoga cepet kepanggil dan ada rejekinya disni	2026-08-19 15:27:35	3	Netral	True	Harga & Bisnis Perusahaan	Lowongan Kerja & Rekrutmen	Pengalaman dan harapan pelamar terkait proses seleksi lowongan pekerjaan.	Positive
Ci9DQUlRQUNvZENodHljRjlvT20xUWJYUnhabXBsT1dKT04zTnlOMWRxVkc4M1ZWRRAB	Vinfast lokernya buka dmna yah?	2026-08-19 15:27:35	3	Netral	True	Harga & Bisnis Perusahaan	Lowongan Kerja & Rekrutmen	Pertanyaan netral mengenai informasi lokasi atau kanal pendaftaran lowongan kerja VinFast.	Positive
